score,keywords
9.0,similar scripting language
9.0,retail industry preferred
9.0,presto spark hive
9.0,nps csat etc
9.0,manipulating raw datasets
9.0,maintain robust pipelines
9.0,influence decision making
9.0,gather business requirements
9.0,eg nps csat
9.0,distribution strategies design
9.0,continuously developing periodic
9.0,bi tools ability
8.666666666666666,similar quantitative fields
8.6,driven tools reports
8.6,creating reports visualizations
8.5,consumer electronics environment
8.416666666666666,analysis using sql
8.25,customer feedback proficiency
8.25,customer feedback across
8.083333333333334,reporting using tableau
8.0,data etl preferred
7.75,dashboards using tableau
7.666666666666668,sales analytics reporting
7.666666666666666,quantitative research projects
7.666666666666666,analysis sql skills
7.6,ad hoc reports
7.5,technical audiences bs
7.333333333333334,support sales leadership
7.333333333333334,presenting insights partner
4.833333333333334,consumer insights
4.75,using r
4.666666666666666,statistical analysis
4.666666666666666,quantitative discipline
4.6,upload reports
4.5,technical audiences
4.333333333333334,actionable insights
4.25,customer metrics
4.1,building reports
4.0,visualization dashboards
4.0,transactional operational
4.0,survey findings
4.0,study 3
4.0,related field
4.0,regional heads
4.0,provide real
4.0,proactively distributing
4.0,opportunity areas
4.0,ms degree
4.0,move fast
4.0,indeed countries
4.0,help center
4.0,functional partners
4.0,external cross
4.0,existing models
4.0,easy access
4.0,drivers advocate
4.0,develop models
4.0,data capture
4.0,consolidate third
4.0,communicating results
4.0,communicating findings
4.0,clear picture
4.0,build insight
4.0,behavioral sources
4.0,add signal
3.5,querying joining
3.5,depth analyses
3.5,cx surveys
2.3333333333333335,sales
2.3333333333333335,reporting
2.25,customer
2.0,technical
2.0,support
2.0,skills
2.0,projects
2.0,partner
2.0,hoc
2.0,data
2.0,dashboards
1.5,querying
1.5,cx
1.5,building
1.5,analyses
1.0,working
1.0,voice
1.0,translate
1.0,tool
1.0,time
1.0,spss
1.0,sell
1.0,s
1.0,required
1.0,python
1.0,platforms
1.0,paint
1.0,non
1.0,medallia
1.0,knowledge
1.0,internal
1.0,customers
1.0,collaborate
1.0,area
1.0,8
