score,keywords
9.0,stream process owners
9.0,reporting provide fp
9.0,range planning design
9.0,influencing functional leaders
9.0,growth tech company
9.0,financial planning mba
9.0,financial management bachelor
9.0,enhance current tools
9.0,develop actionable insights
9.0,communicating financial concepts
9.0,applicable accounting concepts
8.5,quantitative field 2
8.5,developing analytical frameworks
8.0,support including headcount
4.5,equivalent 2
4.5,efficient headcount
4.5,build frameworks
4.5,analytic support
4.0,systems related
4.0,s degree
4.0,omnichannel direct
4.0,indeed countries
4.0,help center
4.0,completing tasks
3.5,sales leadership
3.5,ms office
3.5,finance economics
1.5,ms
1.5,leadership
1.5,finance
1.0,working
1.0,time
1.0,skills
1.0,sell
1.0,quarter
1.0,python
1.0,priorities
1.0,partnering
1.0,month
1.0,long
1.0,high
1.0,focus
1.0,end
1.0,consumer
1.0,ar
