Title,Company,Location,JD,URL
AR/VR Business Analyst,Tailored Management,"Menlo Park, CA","skills:  Consolidate third-party retailer sales reports and upload reports to Hive Metastore. Use SQL to query sales related data on a distributed system. Create reports and dashboards to support sales leadership in making effective, analytically driven, and strategic decisions. Explore new data sources to add signal to existing models and develop models for new sales opportunities. Perform ad-hoc and in-depth analyses and then reporting/presenting insights. Partner with regional heads of sales to develop regional sales strategy. 2+ years of experience in business reporting, business intelligence or sales analytics. Reporting experience in a consumer electronics environment or retail industry preferred. Experience in querying and manipulating raw datasets for analysis using SQL (Presto, Spark, Hive). Experience in data ETL preferred. Experience in visualization, dashboards and reporting using Tableau, or other BI tools. Ability to partner with cross functional teams, prioritize tasks and move fast on projects. Experience in communicating findings to both technical and non-technical audiences. BS/MS degree in a quantitative discipline: statistics, applied mathematics, business analytics, computer science, engineering, economics, etc. Bachelor's (Required) United States (Required) One location Health insurance Dental insurance Vision insurance Monday to Friday Day shift 8 hour shift Hiring Lab Career Advice Browse Jobs Browse Companies Salaries Find Certifications Employer Events Work at Indeed Countries About Help Center Do Not Sell My Personal Information Privacy Center",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DI_pqscLjs9LkB0jlO39g2s8RE9SCHTdataN4HV1TulGfWI13h5d2IIBkrMCBpdyoKFuk6LoRw93nv9VIf-nwycaiTnbsKlxaYmP2oUVCrEos5MOIWzflKyJqtBexCiKWVxNVq0D9Lo3YRyX8n959AonagBpNTwfxL-PurTe6VIuRucl5-GiO94yVWwnXAvVgISoGItfPrNseqMDsb4xC2ojEL91N8yKvVh4bd8Mc5fuIniD6hfFc5b-doaIZvhIa1uES5XVSvT3ZwSWYWbM26dFenN677y3wT3mAbQfeCx-eBrO3fZ60Mf6N8yo7O27bu3i_ACjkTtdABfxKxDVdGbAAiAKp5LueZVYo8A1yX4dEKjypmZ7SMejud5ZmCUl48R-WM6iV0GLzjxvtGle7gu1rXKaYhH5wem4w7C6VjphxN6S4ivBiFFK_odSQNZog5yGlaD_9buNb_h0eIbTwM&p=0&fvj=1&vjs=3
"Producer, Augmented Reality (Menlo Park)",The Mom Project,"Menlo Park, CA","skills:  Work closely with creative leads to set strategy and goals for creative development efforts Establish and maintain project production schedules to ensure a smooth end-to-end development plan that meets product goals and quality bar, and ensures that all assets are delivered on time and implemented to spec Establish and maintain an efficient and flexible project process that facilitates the creation, review, feedback, revision, deployment cycle of art asset production Strategically source and manage resources to keep project on-track As a point of contact for team communication, establish clear communication channels and process across creative and cross-functional teams, including Product Marketing Managers, Product Development, Engineering, QA, Legal and Policy Schedule, manage and address cross-functional feedback and stakeholder approvals Predict and/or identify roadblocks and obstacles, and proactively establish meetings or integration points between teams to address and resolve them Serve as team lead to align and anchor resources in a fast-paced environment Work closely with cross-functional product and engineering teams to unlock future possibilities that marry emerging technologies and creative expression Facilitate, document and disseminate decisions to key stakeholders Experience working with artists, designers and engineers to design, build, and deliver products and effects that use emerging technologies Experience in AR/VR/MR or 3D production highly desired Experience articulating design direction to artists and non-artists alike Experience working with external vendors (individual artists and agencies) including sourcing and contracting, advising on/defining schedules, assessing proposed production processes, managing assets as they are delivered, and being the daily point of contact for the internal team Experience in project management and relationship building Experience establishing and managing ongoing production Ability to thrive managing a globally distributed team Knowledge with Maya, Adobe Photoshop, Illustrator and other design packages Health Benefits: Medical, Dental, Vision, Life (including spouse & child), 401k, STD/LTD, AD&D, and Commuter Benefits program) Accrued PTO: Up to 15 days per 12 months on assignment New Child Benefit: Up to $4,000 for the birth or adoption of a child while on assignment (conditions apply) Health insurance Dental insurance Vision insurance Monday to Friday Hiring Lab Career Advice Browse Jobs Browse Companies Salaries Find Certifications Employer Events Work at Indeed Countries About Help Center Do Not Sell My Personal Information Privacy Center",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BDp_epf89aHDQhKpPegNJQ_ldQpEFZQsM9OcONMGxWx1gfak1_dXnxKhEjFYjFBcyNmE4gglm-h4MqsLaW9b5uYMYhHDT9mYTcUKAesv3Gn81bEnBSv9rR-GZczsrS_vXO1L9QmvglRGi3vSJ4Win-2vVDyC0DjP8hyJ8Vsh5d6K30JIwxxTkJE_jyNzeLca-0mMXq7rdl7iJUeg5KO9vFsx_83onyfTq8wGiKmoAh6LaFJQ5MmOnv-tMywBlMWhykIBdqvIHcPZ0YCvcFXqzvuvsIKE74vmVyiq07IkNakoqNxXwgKZi0u_K3tGl3K1J0QtgbtTydBWzGvDu7jlBG_kiZaqUMePUZQ2GSbwqTGywbbB4JDuWDotG-FJiTPCx8FhfdHdkSC54qCMZwGMQChpgcsbgoNaOqcMw2VyZkYKb39t4btg9ziGVyYDV_Hfo2uSFizLoKpg==&p=1&fvj=1&vjs=3
"Content Manager, AR/VR (Japanese Market)",An Innovative VR Company,"Menlo Park, CA","skills:  Curate and manage the App Store and an extensive editorial calendar for Japan. Assign, edit, and write content for the App Store, including short-form write-ups, deep dives, developer interviews and translate long-format articles from cross-functional teams.
 Strategize content release dates and key programming moments for the region.
 Create, manage, and publish content across CMS platforms.
 Manage CMS pipeline from ingestion to reporting.
 Understand best practices across pricing strategies and sales.
 Adhere to brand and content standards and guidelines.
 Create internal development documentation and best-practices.
 Work cross-functionally with marketing, creative, and technical teams. 3+ years editing creative editorial for traditional and/or online publications
 Experience leading designers and coming up with creative design ideas
 Best practices for editorial engagement and written style guides
 Excellent organizational skills plus the ability to handle multiple projects simultaneously under strict deadlines
 Fluent (speaking, reading, writing) in Japanese and English
 Experience working with Content Management Systems
 Track record of copywriting and merchandizing for a Japanese market
 Passion for emerging technology and the AR/VR industry Hiring Lab Career Advice Browse Jobs Browse Companies Salaries Find Certifications Employer Events Work at Indeed Countries About Help Center Do Not Sell My Personal Information Privacy Center",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DSgjPPcnEdvoK3uuxfISLALE6pB1FR7YSHOr_tSg5_QKRYSnOT6R6UOXzcwA0IQujpzmY1EQfpqFaya_rnu5e_mOXOCHuvMhq_CdaibB6UQZW1Il3U7-OBoSowpJBcRi3kxHlc4dbDurM2VR0b_FPeix0ot-uPc2O-I_5oPJ-Adgy6Fzf12e1ShQdkb_v65n8IuPONBayPuLXKe4GhSvP0JCjEiNCYcIAeIQqXA9D9dZUu223xChs6xZdqsjSpOHjQzuUgujdbOY1JpvEagMZ2oUC06w-yJI_u0J22YSaFnZCjv_BWB4LPKnHODjmDCUtk9QL94L4KjF3UL61jMd7rdYf7enXyJsxmAq2E7lIJ_zk4-heD8WeVgfqJ5dMx5OBYzHUEtmDJfo7AviZokOraLnMCgzkhux5u1SvV94JVlfmDjKUObQo8v1i74AHMIWaFDsbLrFENd7T4UtV9KWuXBQ4StF48bOlHAbXKxEEMRkCvQm7UY6_7i-EGJvlLDkSP0_BoTqYxiQ==&p=2&fvj=0&vjs=3
AR/VR Apps Review Specialist,Facebook,"Menlo Park, CA","skills:  
Execute testing process for third party submissions to the Oculus Store to ensure apps meet technical and content policy requirements 
Maintain test plan in CMS tool, collaborate with developer relations engineering team on test procedures and escalated issues 
Gather information from domain experts for new products and features, coordinate training for the testing team 
Report on trends and advocate for platform level solutions to common rejection reasons 
Propose and drive improvements to the testing and feedback process 
Communicate with developers about their submission results and provide 1:1 ticketed support 
5+ years of video game QA or application testing experience 
Developer advocate, proven experience helping app developers overcome challenges to help them succeed 
Communication skills and experience to clearly document complex bugs and the steps to reproduce 
BA/BS Degree Hiring Lab Career Advice Browse Jobs Browse Companies Salaries Find Certifications Employer Events Work at Indeed Countries About Help Center Do Not Sell My Personal Information Privacy Center",https://www.indeed.com//rc/clk?jk=11bf7d641f87fba6&fccid=1639254ea84748b5&vjs=3
Strategic Planning & Operations Lead for Facebook AR/VR Partnerships,Facebook,"Menlo Park, CA","skills:  
Strategic Planning: 
Collaborate with Partnerships leaders and other internal stakeholders on key business initiatives, programs, resource planning, and special projects. 
Frame decisions and contribute a strong point of view on how to build a better business. 
Develop a deep understanding of the business and be the person that can connect the dots between teams to identify areas for improvement, efficiency, and collaboration. 
Develop and implement go-to-market strategies for new markets, products or verticals, including organizational design to enable these strategies. 
Operations: 
Lead operational reviews for the AR/VR Partnerships teams to drive decision-making and review progress on goals and priorities (e.g. monthly/quarterly business reviews). 
Build standard business review documents and business requirements for reporting. 
Work closely with internal communications and HR teams to ensure leadership is communicating constantly and transparently within the team and across Facebook organizations. 
Drive key leadership meetings and facilitate alignment on key issues and opportunities. 
Identify areas of process improvement and build plans for teams to improve. 
Bachelor’s degree in engineering, economics, business or other relevant/quantitative disciplines. 
8+ years of experience in strategic planning and/or business operations in the technology/internet space or media space. 
Experience leading strategy, operations and process improvement projects at a leading management consulting firm or in a relevant strategy/operations team. 
Distinctive problem solving and analysis skills, experience solving complex and diverse business problems (commercial, operational, organizational), and to drive projects from strategy to execution. 
Leadership and influencing skills – experience leading/influencing stakeholders at all levels of an organization. 
Experience working cross-functionally with leadership in developing and executing successful plans. 
Results and detail oriented, with commercial/business acumen. 
Experience working in Excel and PowerPoint. 
Experience building great businesses and for Facebook products, particularly for VR products. 
Experience developing or overseeing advanced quantitative analysis and derive actionable insights. 
Knowledge of SQL. Hiring Lab Career Advice Browse Jobs Browse Companies Salaries Find Certifications Employer Events Work at Indeed Countries About Help Center Do Not Sell My Personal Information Privacy Center",https://www.indeed.com//rc/clk?jk=4edd3fa153d3ecb2&fccid=1639254ea84748b5&vjs=3
"Director, Demand Planning AR/VR",Facebook,"Menlo Park, CA","skills:  
Build the organizational infrastructure to develop, manage, and continually improve demand planning systems that drive accuracy of product category and SKU based forecasts in existing and new markets. 
Apply operational excellence methods to streamline processes and tasks across multiple areas and internal teams, then implement best practices, as well as timely inform cross-functional teams of any system or workflow related issues. 
Help build the demand planning strategy and collaborate with Sales/Finance/Marketing/Product and Data Team leaders to develop long-term and short-term demand plans. Design comprehensive and consistent strategies, tools, and processes related to demand planning and sales forecasting. 
Define and implement forecasting methodologies leveraging product, and customer segmentation strategies as facebook grows into new/undefined ecosystems and product categories. 
Lead and develop a team of Demand Planners, Analysts, and Specialists establishing clear performance expectations and coaching to ensure their performance plans meet organizational objectives. 
Partner with Sales, Marketing, Category, and Finance to gather forecast inputs from across the business, including but not limited to business trends, promotional/marketing plans, product inventory, production capacities, distribution changes, to develop accurate demand plans. 
Represent Demand Planning as part of the S&OP process, helping to socialize and evangelize the demand plan during executive reviews. 
10+ years experience working in demand planning. 
Experience working with and implementing advanced demand planning statistical modeling techniques. 
Experience working in a data-driven decision making environment, leveraging industry standard KPIs to measure and improve performance. 
Experience in implementing and using industry leading demand planning tools. 
Bachelors’ degree. 
MBA. 
Consumer Electronics industry with experience planning for high volume, high mix portfolios. Hiring Lab Career Advice Browse Jobs Browse Companies Salaries Find Certifications Employer Events Work at Indeed Countries About Help Center Do Not Sell My Personal Information Privacy Center",https://www.indeed.com//rc/clk?jk=4cfdb45266119380&fccid=1639254ea84748b5&vjs=3
"Accountant, AR/VR",Facebook,"Menlo Park, CA","skills:  
Become a subject matter expert in matters related to inventory and COGS accounting. 
Perform cost analyses and updates. 
Carry out month-end close duties, such as analyzing financial transactions in general ledgers, preparing manual journal entries and preparing account reconciliations. 
Participate in process improvement initiatives by partnering with cross functional process owners and enhance current tools/systems for business growth and scalability. 
Assist in systems testing for any new product launches and other business initiatives. 
Partner with internal and external auditors on satisfactory completion of all audit requests. 
Maintain and ensure compliance with all pertinent Sarbanes-Oxley (“SOX”) documentation and requirements. 
Assist with the preparation of quarterly and annual reporting packages to management. 
Other ad hoc projects. 
Bachelor degree in Accounting, Finance or related discipline 
3+ years of experience in financial statements auditing, financial accounting or similar experience 
Knowledge of U.S. GAAP and internal control best practices 
Big 4 audit experience 
CPA 
Experience in cost accounting Hiring Lab Career Advice Browse Jobs Browse Companies Salaries Find Certifications Employer Events Work at Indeed Countries About Help Center Do Not Sell My Personal Information Privacy Center",https://www.indeed.com//rc/clk?jk=04a2950fd53ad6ad&fccid=1639254ea84748b5&vjs=3
"Customer Experience Analyst, AR/VR",Facebook,"Menlo Park, CA","skills:  
Translate the Customer Experience survey findings (e.g. NPS, CSAT) across different touch points into actionable insights that influence decision making and business optimizations 
Perform deep dive analyses to identify emerging trends, wins, and opportunity areas in customer experience 
Gather business requirements and collaborate with internal and external cross-functional partners on data capture and distribution strategies 
Design and build insight-driven tools, reports, and dashboards that provide real-time and easy access to customer feedback across the organization 
Consolidate customer feedback data with other transactional, operational, and behavioral sources of data to paint a clear picture of experience drivers 
Advocate for customers by continuously developing periodic and ad hoc reports and proactively distributing the insights among appropriate stakeholders 
Create and maintain robust pipelines of data that yield visualized dashboards 
Degree in Marketing, Business, Statistics, Mathematics, Finance, Computer Science, Engineering, Economics, or a related field of study 
3+ years of experience in data analysis, statistical analysis, data science, marketing analytics, or similar quantitative fields 
Experience with creating reports, visualizations, and dashboards and communicating results and analyses to technical and non-technical audiences 
Experience working with and knowledge of Customer Experience or Voice of Customer metrics (NPS, CSAT, etc.), CX surveys, and customer feedback 
Proficiency in querying, joining, and manipulating raw datasets for analysis. SQL skills 
Experience using R or Python or SPSS or a similar scripting language/tool for statistical analysis 
Experience with building reports and dashboards using Tableau 
Experience working with customer experience platforms such as Medallia 
Experience building and managing text analytics tools 
Experience working on quantitative research projects in the area of consumer insights 
Experience working or in support of a CX or VoC team Hiring Lab Career Advice Browse Jobs Browse Companies Salaries Find Certifications Employer Events Work at Indeed Countries About Help Center Do Not Sell My Personal Information Privacy Center",https://www.indeed.com//rc/clk?jk=a7b21da9f021f5a5&fccid=1639254ea84748b5&vjs=3
"Contact Center Program Manager, AR/VR",Facebook,"Menlo Park, CA","skills:  
Work closely with the Facebook Customer Support Ops leadership and Partner teams across multiple sites to identify opportunities, create/implement programs, determine potential ROI, and evaluate the success of contact center initiatives and events to drive exceptional customer support. 
Drive process improvements, best-practice sharing, and tools enhancements across global Contact Center operations. 
Support the management team with effective team communication, proactive problem solving, information distribution. 
Work to identify improvements in operational effectiveness and efficiency that will drive increases in customer satisfaction, quality, and other key performance indicators. 
Work closely with stakeholders to develop the most up to date program information, own the narrative, and facilitate sessions to advance the programs. 
Collate and present monthly status reports on organization wide initiatives to the CS Ops leadership team. 
Assess risk, raise flags, and resolve issues before they become problems for the larger teams. 
Serve as Zendesk CRM Administrator – manage the creation & maintenance of Zendesk roles, queues, macros, and routing procedures. 
Travel internationally required quarterly. 
Experience supporting a brand known for their customer centric approach. 
2+ years’ project management experience focused on contact center management initiatives and customer interaction improvement. 
2+ years’ experience as Zendesk Administrator. 
Experience creating business requirements, detailed project plans, presentations in support of project and program initiatives. 
Experience with statistics and experience recognizing patterns in data and provide recommendations based on those patterns. 
Experience communicating and motivating large groups of people 
Experience with reporting tools (Tableau or similar) 
Experience in contact center support for consumer electronics 
BA/BS degree or higher 
5+ years’ experience in customer support operations focused role, ideally, managing contact center vendors in a B2C environment. Hiring Lab Career Advice Browse Jobs Browse Companies Salaries Find Certifications Employer Events Work at Indeed Countries About Help Center Do Not Sell My Personal Information Privacy Center",https://www.indeed.com//rc/clk?jk=7055ddce717140a7&fccid=1639254ea84748b5&vjs=3
"Technology Communications Director, AR/VR",Facebook,"Menlo Park, CA","skills:  
Lead communications strategy across VR social experiences, media, developer and games 
Drive comms strategy for Oculus Connect and other industry events including GDC, PAX, and E3 
Work with leaders within the company to communicate our vision for AR/VR 
Serve as a spokesperson, as needed 
Work cross functionally to help set and communicate developer and content policies 
Attend leadership meetings to provide counsel on future products, games, and experiences 
Collaborate with marketing, events, and creative teams to help steer go to market strategies 
Lead and develop a team of communications professionals 
Bachelor's degree in English, Communications or a related field 
15+ years of experience in games, entertainment or live platforms PR, or a related field Hiring Lab Career Advice Browse Jobs Browse Companies Salaries Find Certifications Employer Events Work at Indeed Countries About Help Center Do Not Sell My Personal Information Privacy Center",https://www.indeed.com//rc/clk?jk=e828972d890135d6&fccid=1639254ea84748b5&vjs=3
