score,keywords
9.0,visual system guide
9.0,underlying implementations used
9.0,translation lookaside buffer
9.0,status escalating risks
9.0,ray tracing rasterization
9.0,printed circuit board
9.0,modifying camera pipeline
9.0,injection molding die
9.0,highlight missing functionality
9.0,fea structural simulations
9.0,delivering aaa games
9.0,assemble bench setups
9.0,6s spc cpk
8.666666666666666,volume production stages
8.666666666666666,production phase experienced
8.636363636363637,wifi logo testing
8.636363636363637,final acceptance testing
8.6,minimal supervision knowledge
8.571428571428571,volume manufacturing experienced
8.5,pc usb bluetooth
8.5,eg electrical organizational
8.5,2d cad masters
8.454545454545455,qa strategy development
8.454545454545455,feature development bring
8.454545454545455,executing development projects
8.434782608695652,ready test stations
8.434782608695652,managing test coverages
8.434782608695652,improving test efficiency
8.434782608695652,improve test strategies
8.428571428571429,projects apply engineering
8.428571428571429,engineering engagement models
8.416666666666666,new device bring
8.4,video conferencing technologies
8.4,technical tasks experienced
8.345454545454546,c ++ familiarity
8.333333333333334,using various sdks
8.333333333333334,cost effectiveness 3
8.333333333333332,vendor sites troubleshoot
8.333333333333332,shipping reliable products
8.266666666666666,led displays knowledge
8.236363636363636,packaging software testing
8.166666666666666,automated tests partner
8.15,bringing new technologies
8.136363636363637,testing vision systems
8.121212121212121,device driver development
8.1,version control software
8.09090909090909,c swift c
8.071428571428571,deploy advanced manufacturing
8.045454545454545,c swift etc
8.041666666666666,developing oculus products
8.006211180124224,manufacturing test strategy
8.0,wireless communication protocols
8.0,team providing swift
8.0,specialized kernel functions
8.0,smt processes knowledge
8.0,problem solving skills
8.0,overseas manufacturers demonstrated
8.0,lcos dlp micro
8.0,large code bases
8.0,issue review meetings
8.0,based vendors remotely
7.980769230769231,new product introduction
7.9714285714285715,manufacturing processes required
7.954545454545455,native systems development
7.933333333333334,similar field knowledge
7.933333333333334,shipping software products
7.928571428571429,engineering discussions bachelors
7.904761904761905,external partners ba
7.8671328671328675,testing perform product
7.866666666666667,quality automated tests
7.857142857142858,system level design
7.85,fabrication process knowledge
7.85,building software security
7.845454545454546,c ++ etc
7.836363636363636,audio performance testing
7.833333333333334,operating systems internals
7.833333333333334,characterize embedded systems
7.809782608695652,developing test solution
7.79192546583851,major design test
7.761904761904763,feature engineering teams
7.75,building complex applications
7.732142857142858,functional design reviews
7.708333333333334,developing calibration stations
7.666666666666666,deliver final products
7.636363636363637,white box testing
7.6,supply chain knowledge
7.6,accompanying software infrastructure
7.595454545454546,c ++ 4
7.587912087912088,ee product design
7.583333333333334,mechanical enclosures 5
7.583333333333334,android operating system
7.571428571428571,help partners integrate
7.571428571428571,drive overseas partners
7.557142857142857,component based design
7.533333333333333,embedded platforms engage
7.5285714285714285,software engineering partner
7.5,sales support plan
7.5,platform engine collaborate
7.5,multi camera systems
7.5,designing electrical sub
7.5,consumer electronics products
7.434782608695652,vendor test teams
7.434782608695652,blocking test execution
7.428571428571429,solve engineering problems
7.416666666666666,linux device drivers
7.387878787878789,embedded software development
7.375,developing apps games
7.357142857142858,metal part design
7.345454545454546,c ++ objective
7.333333333333334,tolerance analysis methods
7.333333333333334,power systems establish
7.333333333333334,implement os components
7.333333333333334,coordinate sw upgrades
7.333333333333334,camera calibration concepts
7.25,vr products 3
7.25,vr experiences proficiency
7.238095238095237,jdm partners troubleshoot
7.233333333333334,partner technical teams
7.230769230769231,meet product requirements
7.209523809523809,led display technologies
7.2,performance tuning exercises
7.2,maximize graphics quality
7.2,integrating component modules
7.178571428571429,related fields 5
7.166666666666666,device level services
7.136904761904763,functional engineering teams
7.128571428571429,wireless related issues
7.125,building functional performant
7.116666666666666,multiple android platforms
7.1,d environment knowledge
7.011904761904762,related field 4
7.0,organization lead cross
7.0,ensure high signal
7.0,areas strong understanding
6.934782608695652,test methods equipment
6.934782608695652,debug test systems
6.904761904761905,display related field
6.833333333333334,systems programming language
6.833333333333334,develop best practices
6.666666666666666,span multiple hardware
5.345454545454546,c ++
5.166666666666666,led etc
5.1,systems software
5.0,wireless protocols
5.0,vendor teams
5.0,supply chain
5.0,products establish
5.0,organization bachelors
5.0,level systems
5.0,implement device
5.0,control applications
4.9714285714285715,manufacturing processes
4.934782608695652,test methods
4.928571428571429,sales engineering
4.928571428571429,related fields
4.928571428571429,electrical engineering
4.916666666666666,device drivers
4.904761904761905,external partners
4.889328063241107,test development
4.85,process knowledge
4.834782608695653,test processes
4.833333333333334,tolerance analysis
4.833333333333334,embedded systems
4.833333333333334,embedded linux
4.833333333333334,consumer electronics
4.833333333333334,best practices
4.821428571428571,manufacturing process
4.787878787878788,development coordinate
4.761904761904762,related field
4.761904761904762,mechanical engineering
4.761904761904762,engineering teams
4.75,new devices
4.733333333333333,establish technical
4.714285714285714,display partners
4.708333333333334,functional teams
4.704545454545455,android development
4.7,quality performant
4.7,electrical performance
4.685314685314685,product development
4.666666666666667,external teams
4.666666666666666,wearable products
4.666666666666666,taking products
4.666666666666666,shipping apps
4.666666666666666,service troubleshoot
4.666666666666666,production phases
4.666666666666666,multiple classes
4.666666666666666,factory tests
4.642857142857142,advanced display
4.636363636363637,regression testing
4.636363636363637,negative testing
4.636363636363637,compatibility testing
4.628571428571428,quality engineering
4.6,technical issues
4.6,party knowledge
4.6,debugging software
4.587912087912088,product design
4.571428571428571,partners willingness
4.571428571428571,manufacturing challenges
4.564102564102564,product teams
4.564102564102564,product coordinate
4.545454545454545,python c
4.545454545454545,c ++)
4.542857142857143,display technologies
4.5,wireless antenna
4.5,systems returned
4.5,statistical methods
4.5,power consumption
4.5,plans masters
4.5,paced environment
4.5,meet specification
4.5,level multi
4.5,leadership review
4.5,lead debugging
4.5,integrate designs
4.5,help center
4.5,fi bluetooth
4.5,define requirements
4.5,cuts etc
4.434782608695652,test set
4.434782608695652,test frameworks
4.434782608695652,test fixtures
4.434782608695652,module test
4.434782608695652,factory test
4.434782608695652,extended test
4.428571428571429,engineering team
4.4,technical perspective
4.4,component issues
4.375,functional relationships
4.375,functional groups
4.375,functional decisions
4.375,functional beautiful
4.375,developing hal
4.375,developing debugging
4.375,defining developing
4.357142857142858,goods design
4.357142857142858,fpc design
4.357142857142858,design role
4.357142857142858,design documentation
4.357142857142858,backplane design
4.333333333333334,wearable electronics
4.333333333333334,tolerance techniques
4.333333333333334,teams understand
