score,keywords
9.0,windows linux mac
9.0,skill levels long
9.0,operations establishing metrics
9.0,dedicated recruiting staff
9.0,continued development 10
9.0,consumer electronics devices
8.666666666666666,performance management 7
8.5,supporting coaching mentoring
8.5,product offerings leverage
8.5,developer infrastructure strategy
8.5,constrained environment yet
8.25,industry champion engineering
8.166666666666666,management teams 3
8.0,toolchain projects across
8.0,solid project framework
8.0,c ++/ java
7.833333333333334,launching software products
7.583333333333334,developing engineers demonstrated
7.25,managing engineering teams
7.0,lead team designing
5.166666666666666,management teams
4.666666666666667,software engineers
4.583333333333334,developing software
4.583333333333334,developing engineers
4.5,projects tailored
4.5,product decisions
4.5,managing managers
4.5,functional teams
4.5,environment based
4.5,class products
4.5,across oculus
4.25,make engineering
4.25,architecting developing
4.0,working collaboratively
4.0,user space
4.0,unreal unity
4.0,team members
4.0,supporting cross
4.0,styles communicate
4.0,regular assessment
4.0,operate efficiently
4.0,indeed countries
4.0,improvement establish
4.0,implementing device
4.0,ie javascript
4.0,game engines
4.0,functional hardware
4.0,design solutions
4.0,deliver world
4.0,comparable language
4.0,communications stack
4.0,collaborate effectively
4.0,careers assigning
4.0,bus drivers
4.0,building infrastructure
4.0,analyzing interpreting
3.666666666666667,help center
3.666666666666667,help build
3.5,services 5
3.5,leveraging data
2.25,engineering
2.0,team
2.0,lead
2.0,framework
2.0,c
1.6666666666666667,help
1.5,services
1.5,data
1.5,cross
1.5,building
1.0,termination
1.0,skills
1.0,sell
1.0,process
1.0,positive
1.0,php
1.0,one
1.0,mobile
1.0,manage
1.0,low
1.0,latency
1.0,integration
1.0,ide
1.0,high
1.0,guidance
1.0,gnu
1.0,functionally
1.0,following
1.0,extending
1.0,experiences
1.0,expand
1.0,events
1.0,drive
1.0,developers
1.0,develop
1.0,create
1.0,contribute
1.0,conferences
1.0,components
1.0,collaboration
1.0,closely
1.0,builds
1.0,android
1.0,accountability
